name,rate,image,glb_company_size,industry,review,salary,jobs,locations,description
JPMorgan Chase & Co,4.0,https://media.glassdoor.com/sql/5224839/jpmorgan-chase-and-co-squarelogo-1702513332906.png,10000.0,Banking & Lending,26000.0,70500.0,4400.0,"Headquarters in New York, NY","JPMorgan Chase is one of the world's oldest, largest and best-known financial institutions. With a history that traces our roots to 1799 in New York City, we carry forth the innovative spirit of our heritage firms in our global operations in over 60 countries. We serve millions of customers and many of the world’s most prominent corporate, institutional, and government clients-managing assets and investments, offering business advice and strategies, and providing innovative banking solutions and services.

© 2023 JPMorgan Chase & Co. All rights reserved. JPMorgan Chase is an Equal Opportunity Employer, including Disability/Veterans."
Qualcomm,4.0,https://media.glassdoor.com/sql/640/qualcomm-squareLogo-1662140255236.png,10000.0,Computer Hardware Development,10300.0,236400.0,883,34 office locations,Qualcomm is a company of inventors designing the cutting-edge wireless technologies the world runs on.
UPS,3.5,https://media.glassdoor.com/sql/3012/ups-squareLogo-1633526374628.png,10000.0,Shipping & Trucking,34400.0,56200.0,1600.0,26 office locations,"Every day at UPS, our people are responsible for the movement of goods, funds and information in more than 200 countries and territories.

As UPS has evolved from a Seattle-based bike messenger company into a multi-billion-dollar global corporation, our team has held a singular focus—empowering commerce around the world. Today, UPS is the world's largest package delivery company and a leading global provider of specialized transportation and logistics services.

Whether we’re connecting with global giants or local mom and pop businesses, our people are at work improving distribution networks and managing supply chains—helping our customers to do what they do best. UPS makes the world work better."
KPMG,3.8,https://media.glassdoor.com/sql/2867/kpmg-squareLogo-1675929586261.png,10000.0,Business Consulting,60300.0,31800.0,9200.0,27 office locations,"KPMG LLP, the U.S. audit, tax and advisory services firm, operates from more than 100 offices with more than 32,000 employees and partners throughout the U.S. Our purpose is to turn knowledge into value for the benefit of our clients, our people, and the capital markets.

KPMG delivers a globally consistent set of multidisciplinary services based on deep industry knowledge. Our industry focus helps KPMG professionals develop a rich understanding of clients' businesses and the insight, skills, and resources required to address industry-specific issues and opportunities."
Best Buy,3.6,https://media.glassdoor.com/sql/97/best-buy-squareLogo-1650652693751.png,10000.0,Consumer Electronics & Appliances Stores,37400.0,49900.0,1000.0,8 office locations,"At Best Buy, our purpose is to enrich lives through technology. To achieve this, over 100,000 employees provide solutions to our customers in over 1,000 locations, online, and in their homes.
 
We’re a community of courageous change-makers, ambitious collaborators, and inspiring friends. Whether it’s working as a Geek Squad Agent, an in-store advisor, or in our corporate office, we offer each other support and prepare for what might come next.
 
We wake up every morning so we can do our part in shaping the future of a changing world. Together, we raise the bar for what’s possible and dream up new solutions to problems we’ve never encountered. We master innovative skills that we didn’t know were within grasp and turn everyday interactions into human connections built to last.
 
If change motivates you, if technology inspires you — we’re here for you. Tomorrow works here.™

http://jobs.bestbuy.com"
Cisco Systems,4.4,https://media.glassdoor.com/sql/1425/cisco-systems-squareLogo-1702924319691.png,10000.0,Enterprise Software & Network Solutions,32900.0,85800.0,296,25 office locations,"#WeAreCisco, where each person is unique. We bring our talents to work as a team each day, helping power an inclusive future for all. Here's how we do it. 

At Cisco, we embody transformation and help our customers excel in their digital worlds. Some may think we're ""old"" (38+ years strong!) and only about hardware, but we're also a software company, a security company, a blockchain company, and an AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns, and protects. Our innovation never stops! 

Cisco values the perspectives and skillsets that arise from employees with diverse backgrounds. That's why Cisco is expanding the boundaries of discovering top talent by not only focusing on candidates with college degrees and experience but instead placing more emphasis on unlocking potential. 

As one of the leading forces in connecting the world, we understand our unique opportunity to bring communities together and create meaningful change for everyone, everywhere. That's why connecting starts within Cisco. Over 30,000 Cisconians participate in our Employee Resource Groups, called Inclusive Communities, where we network, learn to be informed allies, and help make a difference. 

Cisco didn't just build the Internet. We keep building it. And while our technology helps connect the unconnected, that's not where our edge comes from. It comes from our people—unique, innovative, and diverse. Be you, with us! "
Verizon,3.8,https://media.glassdoor.com/sql/89/verizon-squareLogo-1628778296366.png,10000.0,Telecommunications Services,33600.0,44500.0,939,23 office locations,"You want more out of a career. A place to share your ideas freely — even if they’re daring or different. Where the true you can shine through. A space to create and connect with people who truly care. And where there’s the flexibility to focus on the passions that matter most.

Our network is built by people like you. We’re a human network that reaches across the globe and works behind the scenes. We anticipate, lead, and believe that listening is where learning begins. In crisis and in celebration, we come together—lifting up our communities and striving to make an impact to move the world forward.

So, if you're fueled by purpose, and powered by persistence, explore a career with us. Here, you’ll discover the rigor it takes to make a difference and the fulfillment that comes with living the #NetworkLife.

www.verizon.com/careers"
Intel Corporation,4.1,https://media.glassdoor.com/sql/1519/intel-corporation-squarelogo-1599065494667.png,10000.0,Computer Hardware Development,30700.0,59700.0,2700.0,32 office locations,"Intel’s mission is to shape the future of technology to help create a better future for the entire world. By pushing forward in fields like AI, analytics and cloud-to-edge technology, Intel’s work is at the heart of countless innovations. From major breakthroughs like self-driving cars and rebuilding the coral reefs, to things that make everyday life better like blockbuster effects and improved shopping experiences — they’re all powered by Intel technology. With a career at Intel, you have the opportunity to help make the future more wonderful for everyone.

Join us."
Capgemini,3.7,https://media.glassdoor.com/sql/3803/capgemini-squareLogo-1688367853815.png,10000.0,Enterprise Software & Network Solutions,75300.0,28900.0,5800.0,55 office locations,"At Capgemini, we are driven by a shared purpose: Unleashing human energy through technology for an inclusive and sustainable future.

As a leading strategic partner to companies around the world, we have leveraged technology to enable business transformation for more than 50 years. We address the entire breadth of business needs, from strategy and design to managing operations. To do this, we draw on deep industry expertise and a command of the fast-evolving fields of cloud, data artificial intelligence, connectivity, software, digital engineering, and platforms."
US Navy,3.7,https://media.glassdoor.com/sql/41451/us-navy-squarelogo-1601323365030.png,1001 to 5000 Employees,National Agencies,29400.0,47000.0,58,25 office locations,"America’s Navy is the most versatile branch of the military, forging defense on land, in the air, and at sea. With opportunities across the globe and a commitment to serve the greater good, the Navy offers a life of fulfillment, advancement, and innovation to every Sailor."
Meta,3.9,https://media.glassdoor.com/sql/40772/meta-squareLogo-1636117276319.png,10000.0,Internet & Web Services,17200.0,66500.0,2200.0,21 office locations,"Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. "
Citi,3.9,https://media.glassdoor.com/sql/8843/citi-squareLogo-1686753614162.png,10000.0,Investment & Asset Management,33700.0,34900.0,2600.0,26 office locations,"Working at Citi is far more than just a job. A career with us means joining a family of more than 240,000 dedicated people from around the globe. At Citi, you’ll have the opportunity to grow your career, give back to your community and make a real impact.

Citi connects millions of people across hundreds of cities and countries every day through our unparalleled global network. With varying businesses and functions at each location, there are an abundance of opportunities beyond the work you’ll do with your team.

We are a dynamic, global organization fueled by talented individuals with diverse perspectives who work in a vast range of roles. Whatever your background, culture, role or experience, there is a place for you at Citi. 

Whether you’re at the start of your career or looking to discover your next adventure, your story begins here. At Citi, you’ll have the opportunity to expand your skills and make a difference at one of the world’s most global banks.

To find out more about the roles available in your region and apply, please visit www.jobs.citi.com"
,,,,,,,,,
Dell Technologies,4.2,https://media.glassdoor.com/sql/1327/dell-technologies-squarelogo-1702514279238.png,10000.0,Information Technology Support Services,35100.0,29000.0,246,25 office locations,"We believe that each of us has the power to make an impact. That’s why we put our team members at the center of everything we do. If you’re looking for an opportunity to grow your career with some of the best minds and most advanced tech in the industry, we’re looking for you. Dell Technologies is a unique family of businesses that helps individuals and organizations transform how they work, live and play. Join us to build a future that works for everyone because Progress Takes All of Us.  "
Capital One,4.0,https://media.glassdoor.com/sql/3736/capital-one-squareLogo-1667853695285.png,10000.0,Banking & Lending,16300.0,36100.0,1800.0,32 office locations,"You know who you are and you’re good at it. You never settle for “good enough.” That’s why we want you at Capital One. We’re doing some bold, transformative things here. Like changing banking for good. What’s in it for you? A career surrounded by brilliant minds. People from different backgrounds, experiences and education levels. Coming together to create a sense of belonging. Supporting you where you are and where you want to be. And the chance to create real, impactful work that matters—without giving up your life or integrity to achieve it. That’s life at Capital One."
HCLTech,3.6,https://media.glassdoor.com/sql/553909/hcl-technologies-squareLogo-1664198027190.png,10000.0,Information Technology Support Services,43300.0,46800.0,986,35 office locations,"HCLTech is a global technology company, home to 221,000+ people across 60 countries, delivering industry-leading capabilities centered around digital, engineering, cloud and AI powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services.

Our purpose is to bring together the best of technology and our people to supercharge progress. We’re supercharging progress for everyone, everywhere – our clients, partners and their stakeholders, our people, communities, and the planet.

Part of the HCL group, HCLTech was listed on the stock exchanges in India at the turn of the millennium in December 1999. Since our inception, we have pioneered several industry mainstays and established leadership positions in all our chosen segments.

As a company, we are deeply focused on accelerating our ESG agenda. We are also creating technology-enabled sustainable solutions with and for our clients and partners. We embed ESG imperatives into every aspect of our business and ensure that the progress we supercharge is responsible, inclusive and beneficial to all our stakeholders in the long term. We have committed to achieving net zero by 2040.

We recognize the impact that a business like ours can deliver in elevating communities globally, and we continue to improve our efforts and take decisive actions that benefit the communities in which we work and live. Through the HCL Foundation, the CSR arm of HCLTech, we have invested more than $130 million in social development efforts serving communities throughout India across education, health, water, sanitation and hygiene, skill development and livelihoods, environment, and disaster risk reduction, response and management.

We’re powered by our people – a global, diverse, multi-generational talent - representing 161 nationalities whose unique spark, perspective and boundless passion drive our culture of proactive value creation and problem-solving.

Consolidated revenues as of 12 months ending September 2023 totaled $12.9 billion. To learn how we can supercharge progress for you, visit hcltech.com"
Enterprise,3.6,https://media.glassdoor.com/sql/2783/enterprise-squareLogo-1698344106726.png,10000.0,Car & Truck Rental,24900.0,26600.0,850,"Headquarters in Saint Louis, MO","We’re driven by a bold idea: to pave the way forward by creating a better experience for how we move. At Enterprise Mobility, we advance the world, one journey at a time.  
 
Mobility is the driving force that empowers freedom to explore, connect, share ideas and discover new ones. But our idea of mobility is much more than simply getting from A to B. Instead, our focus is on the connections we can help create between people, places and ideas. Across our portfolio, we innovate with intention and put our people first, whether they’re customers, employees, partners and neighbors.  
 
Deeply rooted in our origins, we invest in each other, our communities and every journey. It’s how we grew from a pioneer with a fleet of seven cars to a global mobility leader with more than 90,000 team members throughout the world. And it’s what will continue to drive the future of our business and mobility itself."
Salesforce,4.1,https://media.glassdoor.com/sql/11159/salesforce-com-squarelogo-1413910133565.png,10000.0,Enterprise Software & Network Solutions,18700.0,29600.0,1000.0,58 office locations,"Salesforce is cloud-based CRM software. It makes it easier for companies to find more prospects, close more deals, and connect with customers in a whole new way, so they can provide them with amazing service at scale.

Salesforce brings together all your data, from any source. Customer 360, our complete suite of products, unites your sales, service, marketing, commerce, and IT teams with a single, shared view of customer information. With artificial intelligence integrated across all products, Salesforce helps everyone in your company work more productively and better deliver the personalized experiences customers love."
Nordstrom,3.6,https://media.glassdoor.com/sql/1704/nordstrom-squareLogo-1679960370211.png,10000.0,"Department, Clothing & Shoe Stores",23200.0,28600.0,105,"1700 7th Ave., Ste. 1500,  Seattle WA 98101 ","At Nordstrom, we empower our employees to set their sights high and blaze their own trails. This is a place where your success and growth are truly a result of your own efforts and achievements. 

Our teams are made up of motivated people who work hard to become leaders within the company, at all levels of the organization. These well-traveled paths show how hard work, loyalty, a competitive spirit and your unwavering commitment to the customer can take you and your career to new places.  

In addition to being a great place to have a career, we’re also committed to respecting the environment and supporting our communities. To learn more, check out NordstromCares.com.

Interested in joining the Nordstrom team?  

See some of our current opportunities under our Careers tab or visit careers.nordstrom.com to apply today."
Teleperformance,4.3,https://media.glassdoor.com/sql/9779/teleperformance-squareLogo-1697744314989.png,10000.0,Telecommunications Services,57700.0,8700.0,1600.0,39 office locations,"Be part of something bigger.

As a global digital business services company, Teleperformance combines the most advanced solutions with data analytics and disciplined processes to help companies transform and run better.  In the end, we just help organizations adapt to change and master the future. 

We deliver the most advanced, digitally powered business services to help the world’s best brands streamline their business in meaningful and sustainable ways.

With more than 410,000 inspired and passionate people speaking more than 300 languages, our global scale and local presence allow us to be a force of good in supporting our communities, our clients, and the environment. 

Our high-tech, high-touch approach blends the best of technology and empathy. We thrive in a diverse and inclusive culture that celebrates the differences and strengths of our people. The happiness, well-being, and safety of our employees remain our priority, and we are proud to be an Employer of Choice: 99% of our employees work in a certified Best Place to Work® or Great Place to Work® site.

The future of work is here. Are you ready to take a giant leap towards a bigger and brighter career? We’ll help you get there. Take your career to greater heights with Teleperformance."
T-Mobile,3.7,https://media.glassdoor.com/sql/9302/t-mobile-squareLogo-1672454718899.png,10000.0,Telecommunications Services,20500.0,32600.0,4000.0,"Bellevue, WA","T-Mobile disrupted the wireless industry. We reinvented customer service. We brought real 5G to the nation. Now, we’re shaping the future of technology in wireless and beyond. The work is fast, exciting, and fun. The teams are risk-takers, big idea thinkers, and champions for change. Are you ready to make a huge, meaningful difference for our customers, our communities, our environment, and each other? Let’s be #UnstoppableTogether.
"
Goldman Sachs,3.8,https://media.glassdoor.com/sql/2800/goldman-sachs-squarelogo-1579121885039.png,10000.0,Investment & Asset Management,18300.0,32000.0,238,25 office locations,"The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and high-net-worth individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world."
ADP,3.9,https://media.glassdoor.com/sql/64/adp-squareLogo-1690899108128.png,10000.0,Enterprise Software & Network Solutions,19900.0,22300.0,1400.0,18 office locations,"Consistently named one of the ‘Most Admired Companies’ by FORTUNE® Magazine, and recognized by DiversityInc® as one of the ‘Top 50 Companies for Diversity’, ADP works with more than 1,000,000 organizations across the globe to help their people work smarter, embrace new challenges, and unleash their talent. “Always Designing for People” means we’re creating platforms that will transform how great work gets done, so together we can unlock a world of opportunity."
Morgan Stanley,3.9,https://media.glassdoor.com/sql/2282/morgan-stanley-squareLogo-1670774499083.png,10000.0,Investment & Asset Management,18700.0,25400.0,380,71 office locations,"Morgan Stanley mobilizes capital to help governments, corporations, institutions and individuals around the world achieve their financial goals. For over 85 years, the firm’s reputation for using innovative thinking to solve complex problems has been well earned and rarely matched. A consistent industry leader throughout decades of dramatic change in modern finance, Morgan Stanley will continue to break new ground in advising, serving and providing new opportunities for its clients. 

Morgan Stanley is committed to maintaining the first-class service and high standard of excellence that have always defined the firm. At its foundation are five core values — putting clients first, doing the right thing, leading with exceptional ideas, committing to diversity and inclusion, and giving back — that guide its more than 80,000 employees in 1,200 offices across 41 countries.

Discover what makes Morgan Stanley such a great place to work by using the resources on this page to learn more about our people, our business, and our heritage.
"
,,,,,,,,,
Comcast,3.7,https://media.glassdoor.com/sql/1280/comcast-squarelogo-1552675219892.png,10000.0,Telecommunications Services,16400.0,25800.0,1100.0,29 office locations,"We connect people to the moments that matter most.  Here, you’ll collaborate with diverse and passionate people to help re-imagine industries, invent new technologies and create extraordinary experiences for our customers. 

At Comcast NBCUniversal, we are day-doers, adventurers, and visionaries, pioneering the future at the intersection of media and technology.  We reimagine industries, invent groundbreaking technology and create extraordinary experiences for millions every day. It’s the diverse talents of our people that have propelled us to a Fortune 50 global industry leader. Everyone here has a voice and it’s the diverse talents of our people that have propelled us forward as a leader in connected experiences. It’s what also drives us to make a positive impact and empower change within the communities we serve. 

We are looking for people that share our passion for innovation to join our team – ready to create their own path and connect the world to amazing moments and experiences.

Come create the future with us! Apply today: http://comcastcareers.com."
